pod,cpu_usage_value,cpu_usage_label,memory_usage_value,memory_usage_label,network_in_value,network_in_label,network_out_value,network_out_label
free5gc-upf-59679ddc6d-45kpt,1.7850474587141064e-05,0,121344000.0,0,19.337293670519266,0,0.2600596651174541,0
free5gc-upf2-5cb579b5db-pvhzt,3.497228724444286e-05,0,160661504.0,0,19.40240168508827,0,0.0,0
free5gc-upf-59679ddc6d-45kpt,1.835414383574657e-05,0,121344000.0,0,18.63546549920576,0,0.2465474551019473,0
free5gc-upf2-5cb579b5db-pvhzt,3.392904818692538e-05,0,160661504.0,0,19.40240168508827,0,0.0,0
free5gc-upf-59679ddc6d-45kpt,1.8448375617699884e-05,0,121344000.0,0,18.635465499205765,0,0.2465474551019473,0
free5gc-upf2-5cb579b5db-pvhzt,3.377944004977787e-05,0,160661504.0,0,19.402401685088268,0,0.0,0
free5gc-upf-59679ddc6d-45kpt,1.6903997861293785e-05,0,121344000.0,0,16.83648392865235,0,0.0,0
free5gc-upf2-5cb579b5db-pvhzt,2.124373879079201e-05,0,160661504.0,0,16.597652961289327,0,0.0,0
free5gc-upf-59679ddc6d-45kpt,1.6600135434281883e-05,0,121344000.0,0,13.718768295130552,0,0.0,0
free5gc-upf2-5cb579b5db-pvhzt,1.696270020958006e-05,0,160661504.0,0,16.75476894028472,0,0.0,0
free5gc-upf-59679ddc6d-45kpt,2.4012540723953555e-05,0,121344000.0,0,13.683056822617608,0,0.0,0
free5gc-upf2-5cb579b5db-pvhzt,1.4731138503698038e-05,0,160661504.0,0,13.8805300344752,0,0.0,0
